Id,PID,MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Fence,Misc Val,Mo Sold,Yr Sold,MS_Zone_FV,MS_Zone_Misc,MS_Zone_RH,MS_Zone_RL,MS_Zone_RM,Lot_Shape_IR2,Lot_Shape_IR3,Lot_Shape_Reg,Land_Cont_HLS,Land_Cont_Low,Land_Cont_Lvl,Lot_Config_CulDSac,Lot_Config_FR2,Lot_Config_FR3,Lot_Config_Inside,NH_BrDale,NH_BrkSide,NH_ClearCr,NH_CollgCr,NH_Crawfor,NH_Edwards,NH_Gilbert,NH_IDOTRR,NH_MeadowV,NH_Mitchel,NH_NAmes,NH_NPkVill,NH_NWAmes,NH_NoRidge,NH_NridgHt,NH_OldTown,NH_Other,NH_SWISU,NH_Sawyer,NH_SawyerW,NH_Somerst,NH_StoneBr,NH_Timber,NH_Veenker,Cond_1_Feedr,Cond_1_Norm,Cond_1_PosA,Cond_1_PosN,Cond_1_RRAe,Cond_1_RRAn,Cond_1_RRNe,Cond_1_RRNn,Bldg_Type_2fmCon,Bldg_Type_Duplex,Bldg_Type_Twnhs,Bldg_Type_TwnhsE,House_Style_1.5Unf,House_Style_1Story,House_Style_2.5Fin,House_Style_2.5Unf,House_Style_2Story,House_Style_SFoyer,House_Style_SLvl,Roof_Style_Gable,Roof_Style_Gambrel,Roof_Style_Hip,Roof_Style_Mansard,Roof_Style_Shed,Ext_1_BrkFace,Ext_1_CemntBd,Ext_1_HdBoard,Ext_1_MetalSd,Ext_1_Other,Ext_1_Plywood,Ext_1_Stucco,Ext_1_VinylSd,Ext_1_Wd Sdng,Ext_1_WdShing,Ext_2_BrkFace,Ext_2_CmentBd,Ext_2_HdBoard,Ext_2_MetalSd,Ext_2_Other,Ext_2_Plywood,Ext_2_Stucco,Ext_2_VinylSd,Ext_2_Wd Sdng,Ext_2_Wd Shng,Mas_Vnr_BrkFace,Mas_Vnr_None,Mas_Vnr_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Central_Air_Y,Garage_Type_Attchd,Garage_Type_Basment,Garage_Type_BuiltIn,Garage_Type_CarPort,Garage_Type_Detchd,Garage_Type_NA,Total Bath,Total Area,Outside Amenity Area,pf_overall__Overall Qual,pf_overall__Gr Liv Area,pf_overall__Overall Qual^2,pf_overall__Overall Qual Gr Liv Area,pf_overall__Gr Liv Area^2,pf_garage__Garage Area,pf_garage__Garage Cars,pf_garage__Garage Finish,pf_garage__Garage Area^2,pf_garage__Garage Area Garage Cars,pf_garage__Garage Area Garage Finish,pf_garage__Garage Cars^2,pf_garage__Garage Cars Garage Finish,pf_garage__Garage Finish^2,pf_ext__Exter Qual,pf_ext__Exter Cond,pf_ext__Exter Qual^2,pf_ext__Exter Qual Exter Cond,pf_ext__Exter Cond^2,pf_bsmt__Bsmt Qual,pf_bsmt__Total Bsmt SF,pf_bsmt__Bsmt Cond,pf_bsmt__BsmtFin SF 1,pf_bsmt__Bsmt Exposure,pf_bsmt__Bsmt Qual^2,pf_bsmt__Bsmt Qual Total Bsmt SF,pf_bsmt__Bsmt Qual Bsmt Cond,pf_bsmt__Bsmt Qual BsmtFin SF 1,pf_bsmt__Bsmt Qual Bsmt Exposure,pf_bsmt__Total Bsmt SF^2,pf_bsmt__Total Bsmt SF Bsmt Cond,pf_bsmt__Total Bsmt SF BsmtFin SF 1,pf_bsmt__Total Bsmt SF Bsmt Exposure,pf_bsmt__Bsmt Cond^2,pf_bsmt__Bsmt Cond BsmtFin SF 1,pf_bsmt__Bsmt Cond Bsmt Exposure,pf_bsmt__BsmtFin SF 1^2,pf_bsmt__BsmtFin SF 1 Bsmt Exposure,pf_bsmt__Bsmt Exposure^2,pf_fire__Fireplaces,pf_fire__Fireplace Qu,pf_fire__Fireplaces^2,pf_fire__Fireplaces Fireplace Qu,pf_fire__Fireplace Qu^2,pf_mas__Mas Vnr Area,pf_mas__Mas_Vnr_Stone,pf_mas__Mas Vnr Area^2,pf_mas__Mas Vnr Area Mas_Vnr_Stone,pf_mas__Mas_Vnr_Stone^2,pf_year__Year Built,pf_year__Year Remod/Add,pf_year__Year Built^2,pf_year__Year Built Year Remod/Add,pf_year__Year Remod/Add^2,pf_rms__Full Bath,pf_rms__TotRms AbvGrd,pf_rms__Full Bath^2,pf_rms__Full Bath TotRms AbvGrd,pf_rms__TotRms AbvGrd^2,pf_total_qual__Overall Qual,pf_total_qual__Exter Qual,pf_total_qual__Kitchen Qual,pf_total_qual__Bsmt Qual,pf_total_qual__Heating QC,pf_total_qual__Overall Qual^2,pf_total_qual__Overall Qual Exter Qual,pf_total_qual__Overall Qual Kitchen Qual,pf_total_qual__Overall Qual Bsmt Qual,pf_total_qual__Overall Qual Heating QC,pf_total_qual__Exter Qual^2,pf_total_qual__Exter Qual Kitchen Qual,pf_total_qual__Exter Qual Bsmt Qual,pf_total_qual__Exter Qual Heating QC,pf_total_qual__Kitchen Qual^2,pf_total_qual__Kitchen Qual Bsmt Qual,pf_total_qual__Kitchen Qual Heating QC,pf_total_qual__Bsmt Qual^2,pf_total_qual__Bsmt Qual Heating QC,pf_total_qual__Heating QC^2,SalePrice
109,533352170,60,0.0,13517,6,8,1976,2005,289.0,3,2,3,3,1,6,533.0,1,0.0,192.0,725.0,5,4,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,0,0,1976.0,2,2.0,475.0,2,0,44,0,0,0,0,0,0,3,2010,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2.5,2204.0,44,6.0,1479.0,36.0,8874.0,2187441.0,475.0,2.0,2.0,225625.0,950.0,950.0,4.0,4.0,4.0,3.0,2.0,9.0,6.0,4.0,3.0,725.0,3.0,533.0,1.0,9.0,2175.0,9.0,1599.0,3.0,525625.0,2175.0,386425.0,725.0,9.0,1599.0,3.0,284089.0,533.0,1.0,0.0,0.0,0.0,0.0,0.0,289.0,0.0,83521.0,0.0,0.0,1976.0,2005.0,3904576.0,3961880.0,4020025.0,2.0,6.0,4.0,12.0,36.0,6.0,3.0,4.0,3.0,5.0,36.0,18.0,24.0,18.0,30.0,9.0,12.0,9.0,15.0,16.0,12.0,20.0,9.0,15.0,25.0,130500
544,531379050,60,43.0,11492,7,5,1996,1997,132.0,3,2,4,3,1,6,637.0,1,0.0,276.0,913.0,5,4,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,1,3,1997.0,2,2.0,559.0,2,0,74,0,0,0,0,0,0,4,2009,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3.5,3035.0,74,7.0,2122.0,49.0,14854.0,4502884.0,559.0,2.0,2.0,312481.0,1118.0,1118.0,4.0,4.0,4.0,3.0,2.0,9.0,6.0,4.0,4.0,913.0,3.0,637.0,1.0,16.0,3652.0,12.0,2548.0,4.0,833569.0,2739.0,581581.0,913.0,9.0,1911.0,3.0,405769.0,637.0,1.0,1.0,3.0,1.0,3.0,9.0,132.0,0.0,17424.0,0.0,0.0,1996.0,1997.0,3984016.0,3986012.0,3988009.0,2.0,8.0,4.0,16.0,64.0,7.0,3.0,4.0,4.0,5.0,49.0,21.0,28.0,28.0,35.0,9.0,12.0,12.0,15.0,16.0,16.0,20.0,16.0,20.0,25.0,220000
153,535304180,20,68.0,7922,5,7,1953,2007,0.0,2,3,3,3,1,6,731.0,1,0.0,326.0,1057.0,3,4,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,0,0,1953.0,1,1.0,246.0,2,0,52,0,0,0,0,0,0,1,2010,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2.0,2114.0,52,5.0,1057.0,25.0,5285.0,1117249.0,246.0,1.0,1.0,60516.0,246.0,246.0,1.0,1.0,1.0,2.0,3.0,4.0,6.0,9.0,3.0,1057.0,3.0,731.0,1.0,9.0,3171.0,9.0,2193.0,3.0,1117249.0,3171.0,772667.0,1057.0,9.0,2193.0,3.0,534361.0,731.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1953.0,2007.0,3814209.0,3919671.0,4028049.0,1.0,5.0,1.0,5.0,25.0,5.0,2.0,4.0,3.0,3.0,25.0,10.0,20.0,15.0,15.0,4.0,8.0,6.0,6.0,16.0,12.0,12.0,9.0,9.0,9.0,109000
318,916386060,60,73.0,9802,5,5,2006,2007,0.0,2,2,4,3,1,1,0.0,1,0.0,384.0,384.0,4,4,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,0,0,2007.0,3,2.0,400.0,2,100,0,0,0,0,0,0,0,4,2010,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,2.5,1828.0,100,5.0,1444.0,25.0,7220.0,2085136.0,400.0,2.0,3.0,160000.0,800.0,1200.0,4.0,6.0,9.0,2.0,2.0,4.0,4.0,4.0,4.0,384.0,3.0,0.0,1.0,16.0,1536.0,12.0,0.0,4.0,147456.0,1152.0,0.0,384.0,9.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2007.0,4024036.0,4026042.0,4028049.0,2.0,7.0,4.0,14.0,49.0,5.0,2.0,3.0,4.0,4.0,25.0,10.0,15.0,20.0,20.0,4.0,6.0,8.0,8.0,9.0,12.0,12.0,16.0,16.0,16.0,174000
255,906425045,50,82.0,14235,6,8,1900,1993,0.0,2,2,2,4,1,1,0.0,1,0.0,676.0,676.0,3,4,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,0,0,1957.0,1,2.0,484.0,0,0,59,0,0,0,0,0,0,3,2010,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2.0,2121.0,59,6.0,1445.0,36.0,8670.0,2088025.0,484.0,2.0,1.0,234256.0,968.0,484.0,4.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,2.0,676.0,4.0,0.0,1.0,4.0,1352.0,8.0,0.0,2.0,456976.0,2704.0,0.0,676.0,16.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,1993.0,3610000.0,3786700.0,3972049.0,2.0,6.0,4.0,12.0,36.0,6.0,2.0,3.0,2.0,3.0,36.0,12.0,18.0,12.0,18.0,4.0,6.0,4.0,6.0,9.0,6.0,9.0,4.0,6.0,9.0,138500
138,535126040,20,137.0,16492,6,6,1966,2002,0.0,3,2,3,3,1,5,247.0,3,713.0,557.0,1517.0,5,4,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,1,4,1966.0,3,2.0,578.0,2,0,0,0,0,0,0,0,0,6,2010,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2.5,3405.0,0,6.0,1888.0,36.0,11328.0,3564544.0,578.0,2.0,3.0,334084.0,1156.0,1734.0,4.0,6.0,9.0,3.0,2.0,9.0,6.0,4.0,3.0,1517.0,3.0,247.0,1.0,9.0,4551.0,9.0,741.0,3.0,2301289.0,4551.0,374699.0,1517.0,9.0,741.0,3.0,61009.0,247.0,1.0,1.0,4.0,1.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,1966.0,2002.0,3865156.0,3935932.0,4008004.0,2.0,6.0,4.0,12.0,36.0,6.0,3.0,4.0,3.0,5.0,36.0,18.0,24.0,18.0,30.0,9.0,12.0,9.0,15.0,16.0,12.0,20.0,9.0,15.0,25.0,190000
2827,908186070,180,35.0,3675,6,5,2005,2006,82.0,2,2,4,3,4,6,547.0,1,0.0,0.0,547.0,4,4,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,0,0,2005.0,3,2.0,525.0,2,0,44,0,0,0,0,0,0,6,2006,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3.0,1619.0,44,6.0,1072.0,36.0,6432.0,1149184.0,525.0,2.0,3.0,275625.0,1050.0,1575.0,4.0,6.0,9.0,2.0,2.0,4.0,4.0,4.0,4.0,547.0,3.0,547.0,4.0,16.0,2188.0,12.0,2188.0,16.0,299209.0,1641.0,299209.0,2188.0,9.0,1641.0,12.0,299209.0,2188.0,16.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,6724.0,0.0,0.0,2005.0,2006.0,4020025.0,4022030.0,4024036.0,2.0,5.0,4.0,10.0,25.0,6.0,2.0,3.0,4.0,4.0,36.0,12.0,18.0,24.0,24.0,4.0,6.0,8.0,8.0,9.0,12.0,12.0,16.0,16.0,16.0,140000
145,535154050,20,0.0,12160,5,5,1959,1959,180.0,2,2,3,3,1,3,1000.0,1,0.0,188.0,1188.0,2,4,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,0,0,1959.0,2,2.0,531.0,2,0,0,0,0,0,0,3,0,5,2010,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2.0,2376.0,0,5.0,1188.0,25.0,5940.0,1411344.0,531.0,2.0,2.0,281961.0,1062.0,1062.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,1188.0,3.0,1000.0,1.0,9.0,3564.0,9.0,3000.0,3.0,1411344.0,3564.0,1188000.0,1188.0,9.0,3000.0,3.0,1000000.0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,32400.0,0.0,0.0,1959.0,1959.0,3837681.0,3837681.0,3837681.0,1.0,6.0,1.0,6.0,36.0,5.0,2.0,3.0,3.0,2.0,25.0,10.0,15.0,15.0,10.0,4.0,6.0,6.0,4.0,9.0,9.0,6.0,9.0,6.0,4.0,142000
1942,535353130,20,0.0,15783,5,5,1952,1952,0.0,2,2,3,3,1,3,292.0,1,0.0,632.0,924.0,3,4,924,0,0,924,0.0,0.0,1,0,2,1,3,6,0,0,1952.0,1,1.0,420.0,2,0,324,0,0,0,0,3,400,6,2007,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1.0,1848.0,324,5.0,924.0,25.0,4620.0,853776.0,420.0,1.0,1.0,176400.0,420.0,420.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,924.0,3.0,292.0,1.0,9.0,2772.0,9.0,876.0,3.0,853776.0,2772.0,269808.0,924.0,9.0,876.0,3.0,85264.0,292.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1952.0,1952.0,3810304.0,3810304.0,3810304.0,1.0,6.0,1.0,6.0,36.0,5.0,2.0,3.0,3.0,3.0,25.0,10.0,15.0,15.0,15.0,4.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,112500
1956,535426130,60,70.0,11606,5,5,1969,1969,192.0,2,2,4,3,3,3,650.0,1,0.0,390.0,1040.0,3,4,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,2,3,1969.0,1,2.0,504.0,2,335,0,0,0,0,0,0,0,9,2007,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2.5,3120.0,335,5.0,2080.0,25.0,10400.0,4326400.0,504.0,2.0,1.0,254016.0,1008.0,504.0,4.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,1040.0,3.0,650.0,3.0,16.0,4160.0,12.0,2600.0,12.0,1081600.0,3120.0,676000.0,3120.0,9.0,1950.0,9.0,422500.0,1950.0,9.0,2.0,3.0,4.0,6.0,9.0,192.0,0.0,36864.0,0.0,0.0,1969.0,1969.0,3876961.0,3876961.0,3876961.0,1.0,9.0,1.0,9.0,81.0,5.0,2.0,2.0,4.0,3.0,25.0,10.0,10.0,20.0,15.0,4.0,4.0,8.0,6.0,4.0,8.0,6.0,16.0,12.0,9.0,135000
